Maximaler Train Acc: 0.9497 bei Epoch: 9714
Maximaler Test Acc: 0.9308 bei Epoch: 8584

/home/boris.grillborzer/miniconda3/envs/gggten/bin/python /home/boris.grillborzer/PycharmProjects/PoseEstimationFPHAB/modelundmainfun.py 


Epoch: 258, Train Acc: 0.7332, Test Acc: 0.7212
Epoch: 259, Train Acc: 0.7275, Test Acc: 0.7201
Epoch: 260, Train Acc: 0.7115, Test Acc: 0.7179
Epoch: 261, Train Acc: 0.7212, Test Acc: 0.7289
Epoch: 262, Train Acc: 0.7176, Test Acc: 0.7157
Epoch: 263, Train Acc: 0.7239, Test Acc: 0.7311
Epoch: 264, Train Acc: 0.7332, Test Acc: 0.7168
Epoch: 265, Train Acc: 0.7423, Test Acc: 0.7431
Epoch: 266, Train Acc: 0.7365, Test Acc: 0.7289
Epoch: 267, Train Acc: 0.7357, Test Acc: 0.7322
Epoch: 268, Train Acc: 0.7066, Test Acc: 0.7080
Epoch: 269, Train Acc: 0.7401, Test Acc: 0.7300
Epoch: 270, Train Acc: 0.7228, Test Acc: 0.7091
Epoch: 271, Train Acc: 0.7239, Test Acc: 0.7091
Epoch: 272, Train Acc: 0.7341, Test Acc: 0.7190
Epoch: 273, Train Acc: 0.7310, Test Acc: 0.7201
Epoch: 274, Train Acc: 0.7299, Test Acc: 0.7311
Epoch: 275, Train Acc: 0.7206, Test Acc: 0.7278
Epoch: 276, Train Acc: 0.7234, Test Acc: 0.7300
Epoch: 277, Train Acc: 0.7335, Test Acc: 0.7168
Epoch: 278, Train Acc: 0.7431, Test Acc: 0.7322
Epoch: 279, Train Acc: 0.7242, Test Acc: 0.7201
Epoch: 280, Train Acc: 0.7376, Test Acc: 0.7267
Epoch: 281, Train Acc: 0.7283, Test Acc: 0.7168
Epoch: 282, Train Acc: 0.7299, Test Acc: 0.7157
Epoch: 283, Train Acc: 0.7549, Test Acc: 0.7409
Epoch: 284, Train Acc: 0.7478, Test Acc: 0.7344
Epoch: 285, Train Acc: 0.7360, Test Acc: 0.7256
Epoch: 286, Train Acc: 0.7327, Test Acc: 0.7168
Epoch: 287, Train Acc: 0.7390, Test Acc: 0.7377
Epoch: 288, Train Acc: 0.7299, Test Acc: 0.7267
Epoch: 289, Train Acc: 0.7115, Test Acc: 0.7113
